date,month,CLE,WHI,LEW,WRS,SHA,KES,ORO,ANT,FRD,DAV,BUL,ENG,FOL,UNV,LON,ICH,NAT,INV,BLB,NHG,CMN,PAR,DON,BRD,TUL,NML,DNP,HTH,BUC,HID,MIL,SNL,PNF,TRM,SCC,ISB,STP,CCH,PYM,CAS,
10/1961,10,975600,,,,2213400,,,,,,,35838,363100,,,14150,,,,,,132550,27700,43670,15600,,,73920,,,145700,,113936,205,38,17701,,131440,,,
11/1961,11,986600,,,,2254300,,,,,,,27501,359900,,,11360,,,,,,130250,23900,39570,14700,,,60820,,,149600,,126847,249,42,17575,,130120,,,
12/1961,12,1025700,,,,2576400,,,,,,,44511,398700,,,10200,,,,,,128500,21800,28600,47800,,,50950,,,179600,,151902,242,42,17524,,130300,,,
1/1962,1,1052500,,,,2716700,,,,,,,53248,444200,,,8830,,,,,,127470,16200,20620,50200,,,41970,,,204400,,166249,294,79,17650,,129500,,,
2/1962,2,1189100,,,,3621200,,,,,,,71359,626600,,,10600,,,,,,158140,16700,25160,45400,,,58450,,,370300,,307698,379,509,43394,,205500,,,
3/1962,3,1269100,,,,3994300,,,,,,,71111,454000,,,11800,,,,,,159750,15500,24040,49400,,,46810,,,351300,,354619,530,6431,35621,,205340,,,
4/1962,4,1523100,,,,4320100,,,,,,,71359,646200,,,23800,,,,,,186220,51200,68730,58600,,,154750,,,261700,,526459,872,23425,86612,,205370,,,
5/1962,5,1687100,,,,4292700,,,,,,,71194,845600,,,38100,,,,,,192000,64600,97370,66500,,,271386,,,360100,,591174,4492,28668,132672,,203370,,,
6/1962,6,1787800,,,,4026100,,,,,,,70044,948200,,,31300,,,,,,209320,64500,98230,67700,,,355832,,,437400,,646883,4177,28376,173554,,200460,,,
7/1962,7,1797800,,,,3597600,,,,,,,66759,783900,,,26100,,,,,,187240,61500,96800,55700,,,356814,,,321100,,467505,2896,20725,129811,,196830,,,
8/1962,8,1800100,,,,3143000,,,,,,,57612,592400,,,13200,,,,,,163880,48800,95440,53100,,,320168,,,176300,,321552,2829,11358,110394,,193190,,,
9/1962,9,1792800,,,,2908000,,,,,,,44222,454200,,,2100,,,,,,160600,48220,88140,16900,,,277410,,,146000,,247397,2878,8409,95114,,190480,,,
10/1962,10,1903000,,,,3193300,,,,9520,,,70207,591100,26700,,1830,,,,,,165960,53100,71190,25000,,,236027,,,160900,,265217,3225,7714,84766,,188430,,,
11/1962,11,1953500,,,,3189000,,,,9900,,,70125,473500,30200,,2320,,,,,,172930,41800,65380,35800,,,194308,,,188200,,285797,3236,7709,83789,,186660,,,
12/1962,12,2124900,,,,3262900,,,,10690,,,70289,493900,45300,,4720,,,,,,182640,24400,64830,51300,,,154890,,,218600,,287866,3240,7734,82849,,185390,,,
1/1963,1,2179900,,,,3191600,,,,15200,,,74819,612100,70200,,8260,,,,,,185000,37100,72530,56800,,,143500,,,270700,,346311,21673,13370,97585,,183840,,,
2/1963,2,2392200,,,,3437600,,,,23920,,,71442,626300,122000,,20100,,,,,,179460,45700,57020,62200,,,156840,,,422400,,513202,7980,16608,174280,,184986,,,
