station,id,elev,latitude,longitude,county,operating agency,River Basin
TRINITY LAKE,CLE,2370,40.801,122.762,TRINITY,US Bureau of Reclamation,TRINITY R
LEWISTON,LEW,1870,40.727,122.793,TRINITY,US Bureau of Reclamation,TRINITY R
RUTH  DAM,RTD,2675,40.367,123.433,TRINITY,USGS and DWR,MAD R
LAKE PILLSBURY NR POTTER VLY 24HR AVG,LPY,1828,39.4083,122.9583,LAKE,Pacific Gas & Electric,EEL R
SCOTT DAM,SCD,1807,39.4083,122.9586,LAKE,Pacific Gas & Electric,EEL R
VAN ARSDALE RESERVOIR 24HR AVG,VAR,1494,39.3839,123.1025,MENDOCINO,Pacific Gas & Electric,EEL R
COYOTE (LAKE MENDOCINO),COY,720,39.197,123.186,MENDOCINO,US Army Corps of Engineers,RUSSIAN R
WARM SPRINGS (USACE),WRS,440,38.723,123.01,SONOMA,US Army Corps of Engineers,RUSSIAN R
CACHUMA LAKE,CCH,781,34.583,119.98,SANTA BARBARA,US Bureau of Reclamation,SANTA YNEZ R
PYRAMID,PYM,2606,34.633,118.75,LOS ANGELES,CA Dept of Water Resources,U SANTA CLARA R
CASTAIC,CAS,1535,34.5152,118.6101,LOS ANGELES,CA Dept of Water Resources,SANTA CLARA R
SEVEN OAKS DAM,SVO,2610,34.1178,117.0978,SAN BERNARDINO,"Orange, Riverside and San Bernardino Counties",SANTA ANA R
PRADO DAM,PRA,566,33.89,117.643,RIVERSIDE,US Army Corps of Engineers,SANTA ANA R
SHASTA DAM  (USBR),SHA,1067,40.718,122.42,SHASTA,US Bureau of Reclamation,SACRAMENTO R
SPRING CREEK DEBRIS DAM,SPC,816,40.629,122.474,SHASTA,US Bureau of Reclamation,SACRAMENTO R
KESWICK RESERVOIR,KES,596,40.601,122.443,SHASTA,US Bureau of Reclamation,SACRAMENTO R
WHISKEYTOWN DAM (USBR),WHI,1210,40.598,122.537,SHASTA,US Bureau of Reclamation,SACRAMENTO R
BLACK BUTTE,BLB,426,39.808,122.329,TEHAMA,US Army Corps of Engineers,STONY CR
MOUNTAIN MEADOWS,MMW,5046,40.283,121.017,LASSEN,Pacific Gas & Electric,FEATHER R
LAKE ALMANOR,ALM,4600,40.218,121.173,PLUMAS,Pacific Gas & Electric,FEATHER R
BUTT VALLEY,BTV,4144,40.187,121.186,PLUMAS,Pacific Gas & Electric,FEATHER R
ANTELOPE LAKE,ANT,4960,40.18,120.607,PLUMAS,CA Dept of Water Resources/O & M,FEATHER R
BUCKS LAKE STORAGE,BCL,5168,39.897,121.202,PLUMAS,Pacific Gas & Electric,FEATHER R
LAKE DAVIS (DWR),DAV,5768,39.883,120.467,PLUMAS,CA Dept of Water Resources/O & M,FEATHER R
FRENCHMAN DAM,FRD,5517,39.883,120.183,PLUMAS,CA Dept of Water Resources/O & M,FEATHER R
LITTLE GRASS VALLEY,LGV,5047,39.724,121.019,PLUMAS,South Feather Water and Power Agency,FEATHER R
SLY CREEK,SLC,3536,39.584,121.116,BUTTE,South Feather Water and Power Agency,FEATHER R
OROVILLE DAM,ORO,900,39.54,121.493,BUTTE,CA Dept of Water Resources/O & M,FEATHER R
THERMALITO AFTERBAY,TAB,140,39.45,121.633,BUTTE,CA Dept of Water Resources,FEATHER R
NEW BULLARDS BAR,BUL,1965,39.393,121.14,YUBA,Yuba County Water Agency,YUBA R
ENGLEBRIGHT (USACE),ENG,551,39.239,121.267,NEVADA,US Army Corps of Engineers,YUBA R
LAKE VALLEY RESERVOIR,LVY,5855,39.3,120.583,PLACER,Pacific Gas & Electric,AMERICAN R
FRENCH MEADOWS,FMD,5263,39.112,120.468,PLACER,Placer County Water Agency,AMERICAN R
HELL HOLE (PCWA),HHL,4630,39.058,120.407,PLACER,Placer County Water Agency,AMERICAN R
GERLE LAKE,GLL,5860,39.033,120.367,EL DORADO,Sacramento Municipal Utility District,AMERICAN R
BUCK ISLAND LAKE,BIL,6400,39.001,120.25,EL DORADO,Sacramento Municipal Utility District,AMERICAN R
LOON LAKE (SMUD),LON,6410,38.983,120.323,EL DORADO,Sacramento Municipal Utility District,AMERICAN R
